"repo_id","commit_sha","number_of_files_changed","total_lines_changed","file_types_changed"
github/gitignore,"527b04e0d280045c8088bee752662ec65825ea29",1,4,{'gitignore'}
microsoft/PowerToys,f642720087668ac9faf32545bf23c5f314d16134,1,3,{'CmdPal.Ext.Calc_Helper_QueryHelper.cs'}
vercel/next.js,"9d0081a2a9ec32fbaa36d163f7fc74f415bb20e8",18,66,"{'json','yaml'}"
justjavac/free-programming-books-zh_CN,"62f468bdc0f2fd7173c553b72ceac309c27d6b82",1,1,{'md'}
microsoft/terminal,a093ca3d54ff00d79f00dc4dbd0e4f63ad96aa46,6,220,"{'resw','cpp','h','xaml','vcxproj'}"
microsoft/terminal,c594fcc91bb9fb4fedc6b2a055c7ea01eb361a20,4,22,"{'cmake','build.pre.props'}"
shadcn-ui/ui,b84c990e4270febdac0015f7eb31f0514c42d2eb,1,3,{'json'}
mtdvio/every-programmer-should-know,"91b95f116d3cd239093bbc98ffc2c213f82aaf02",1,3,{'md'}
mtdvio/every-programmer-should-know,ff19d634f0dabe805db35e7ed2c9d426b36c8fc0,1,2,{'md'}
shadcn-ui/ui,"11267f2fed873954b2ffdd83908f729e3db1604a",8,37,"{'changeset_funny-coins-remember.md','changeset_spicy-singers-try.md','changeset_warm-taxis-search.md','json','md','yaml'}"
getify/You-Dont-Know-JS,"8a3a08be0c4e4f01ee976524fb95748f3f7d0e7f",1,2,{'md'}
mtdvio/every-programmer-should-know,"0ab9f4289088d80414a4d663a5515cf5c6d7f250",1,2,{'md'}
mui/material-ui,"1a7d62ba71150cb33115fd7783fc1fe9dd1fd795",2,12,"{'json','yaml'}"
shadcn-ui/ui,"16ee16b0531a3746f55c9a1213d8118f83481c7b",1,3,{'tsx'}
goldbergyoni/nodebestpractices,"896756bca611a33c6e44eb323a1e483779027a88",2,17,"{'hebrew.md','md'}"
nvbn/thefuck,"617aaa1fd07271d0b370e56efd307827c085eb7c",1,3,{'py'}
nvm-sh/nvm,"6135555b4081f9ac195215c62009201e646eaa19",2,6,"{'github_workflows_tests.yml','travis.yml'}"
yt-dlp/yt-dlp,"85c8a405e3651dc041b758f4744d4fb3c4c55e01",2,20,{'py'}
ripienaar/free-for-dev,b432bb860bbc07cc596dcb89749c118f357c1c3b,1,1,{'md'}
fastapi/fastapi,"645d6457378e89fc2b21123db13386197225496e",1,223,{'md'}
iptv-org/iptv,"7a21e116286e3e8afff0da187a1cc6f3c30124bc",1,2,{'m3u'}
mui/material-ui,"0ebb3a14ccc5dbee4ec2682b387511f107b95a65",20,114,"{'md','json'}"
tailwindlabs/tailwindcss,"5131237d676226ab07d6f0407972622670160b58",3,19,"{'md','ts','test.ts'}"
fatedier/frp,"1e8db667434f8f43cd60c16e9a6d694e9bd6e420",1,4,{'md'}
fastapi/fastapi,b2d742074c41b4435775e0b24500eb0fe0cb2ed3,1,1,{'md'}
ant-design/ant-design,"8944de51e68a0ba2344c9b914e490542c97d7697",2,4,"{'en-US.md','zh-CN.md'}"
Hack-with-Github/Awesome-Hacking,"5aae0ce884746a283ddd6f118ec4749561c65454",1,1,{'md'}
papers-we-love/papers-we-love,"486ea37fe366a1983f3d1ef49225eaca9e7a271c",1,1,{'md'}
pytorch/pytorch,"0d0058d90de410cbc998089eb5e475776d2ad55d",1,54,{'py'}
yangshun/tech-interview-handbook,b2e820345c317b03c6668ce821d6a561d3680198,1,2,{'js'}
n8n-io/n8n,"3ba6419710887456a4a6ecc04146721ffce4dcb5",3,123,"{'json','test.ts','ts'}"
puppeteer/puppeteer,c9d135dbaa80df88076ca4160d412c962aacd257,1,2,{'md'}
ryanmcdermott/clean-code-javascript,"30282195952b7eb01d2c8e0f022f83d60cde9284",1,4,{'md'}
denoland/deno,ba9c80eda8b1b4b10f19fcdde541915acbf45e7d,2,4,"{'ts','js'}"
fastapi/fastapi,"02ca76136596aa1089764e545a4f408075fb4ace",1,76,{'md'}
mui/material-ui,"8a36b0b088476b16cedbba2bc4a7e3d275242b75",5,16,"{'json','yaml'}"
open-webui/open-webui,"235489cfc55116e805ae8a3ee6a84efdcc1e40de",2,4,{'svelte'}
ohmyzsh/ohmyzsh,"1ed17ac0523ebc4d12e4e5324fd5f5ce5dafc668",2,41,"{'md','plugin.zsh'}"
torvalds/linux,f563ba4ac68a4dfdfb37baa24ff1a4f917e9ffe7,30,121,"{'f563ba4ac68a4dfdfb37baa24ff1a4f917e9ffe7_arch_parisc_boot_compressed_Makefile','h','c'}"
getify/You-Dont-Know-JS,e96cc1a99190aa75171ddd4580ba656a93c81085,4,10,{'md'}
microsoft/vscode,"026aae27b2f35f193228967360cbcb2aba0f82ea",1,9,{'contribution.ts'}
Significant-Gravitas/AutoGPT,dc981b52a3b97eb08f67a5a63251f635de4aeaef,2,10,{'py'}
ytdl-org/youtube-dl,"6c40d9f8472b5e98ca3a3880cfce01a8403f3a9f",1,15,{'py'}
practical-tutorials/project-based-learning,"15d5112688fbc77d6f145f61be03ffa094fe01de",1,1,{'md'}
trekhleb/javascript-algorithms,e40a67b5d1aaf006622a90e2bda60043f4f66679,1,3,{'md'}
tensorflow/tensorflow,"5b8bf471688d8311607b5ed7273d3291bf812d37",2,76,"{'5b8bf471688d8311607b5ed7273d3291bf812d37_third_party_xla_xla_service_gpu_model_BUILD','cc'}"
tensorflow/tensorflow,"012a0b4ac6104704b2c0257624fc691fad6573b0",6,409,"{'012a0b4ac6104704b2c0257624fc691fad6573b0_third_party_xla_xla_hlo_transforms_collectives_BUILD','cc','h','012a0b4ac6104704b2c0257624fc691fad6573b0_third_party_xla_xla_service_gpu_BUILD'}"
awesome-selfhosted/awesome-selfhosted,e16eeae038ab4dce8f8b87fcaba10c324073aeb5,1,1,{'md'}
Significant-Gravitas/AutoGPT,b244726b20ab92486bfee820e784141acfded097,3,77,{'py'}
ytdl-org/youtube-dl,"1b08d3281d3343a62007aacdc5b669c263bcebeb",1,28,{'py'}
ollama/ollama,"6623898198fece95e6c5cef7ad55d9d1ecd1da1f",1,10,{'md'}
avelino/awesome-go,a3f677bc864f83cbf8cb599ffdf5b0c026d05b2d,1,1,{'md'}
facebook/react,"6a1dfe37776e5a41f4c1e07c33cf1f26c4a82979",1,2,{'js'}
f/awesome-chatgpt-prompts,"1910b690875719044a8f75406fdabc1feea65b17",1,2,{'md'}
